Sample,Date,Estuary,Area,Station,Layer_depth,Season,Chlorophy_microg_L,Cond_microsiemens_cm,Depth_m,DO_percent_sat,DO_mg_L,Sal_psu,Sp_cond_microsiemens_cm,Turbidity_fnu,Temp_C,latitude,longitude,DIC_micromol_kg,TA_micromol_kg,TA-DIC,DO_micromol_kg,oxygen_utilization_micromol_kg,pH,saturation_aragonite,pCO2_atm,k_aragonite,total_calcium,carbonate
CDL03F,9/2/2021,Candelaria,River,CDL03,Bottom,Dry,3.05,37479.9,2.143,139.3,9.86,23.04,36507.3,8.14,26.395,18.62741,-91.2896,2801,2999,198,303.88832133051716,-83.94458712722388,7.928972109420717,2.957983536257083,857.2995843717229,4.056968137770766e-07,6770.185311645076,177.25430555060413
PLZ06F,4/3/2020,Palizada,Estuarine,PLZ06,Bottom,Dry,12.19,46978.4,3.371,21.6,1.48,30.08,46378.2,172.26,25.677,18.56095,-91.79879,2794,2958,164,45.37243969796292,166.50937124077853,7.778993615039488,2.4215598727085927,1136.8496811487505,5.422104114530925e-07,8838.853045758848,148.54811683622682
CDL07S,5/3/2020,Candelaria,Coast,CDL07,Surface,Dry,1.42,50230.3,0.443,98.0,6.55,31.58,48479.5,8.4,26.891,18.76266,-91.41798,2792,2977,185,200.65905735336833,4.849380248909199,7.802848775233106,2.6141690366259103,1113.7786299032898,5.733195040665658e-07,9279.620318652407,161.51028211919225
PLZ07S,10/2/2021,Palizada,Coast,PLZ07,Surface,Dry,2.9,28948.7,0.174,120.1,8.71,17.13,27919.4,10.59,26.93,18.58758,-91.83038,2782,2935,153,269.6407314639627,-42.46251166381137,7.926377175432247,2.5226184197121,930.7115359384594,2.976107412663993e-07,5033.56225644445,149.1505020846018
PLZ05S,10/2/2021,Palizada,Estuarine,PLZ05,Surface,Dry,3.12,30831.4,0.157,120.6,8.67,18.34,29713.7,8.41,26.957,18.53571,-91.78666,2765,2919,154,268.1685456787507,-43.003436840212885,7.910780786556209,2.5075646188608727,946.9919149683229,3.1951948249241616e-07,5389.114523245255,148.6729862352669
CDL07F,5/3/2020,Candelaria,Coast,CDL07,Bottom,Dry,2.59,50220.5,1.131,97.8,6.54,31.58,48482.6,24.6,26.877,18.76274,-91.41786,2753,2992,239,200.35185104021724,5.20363684011906,7.901263459471239,3.193198674182456,865.4406830012398,5.733195040665658e-07,9279.620318652407,197.28426567070576
CDL03F,5/3/2020,Candelaria,River,CDL03,Bottom,Dry,22.49,39453.4,1.867,1.7,0.12,24.01,37919.1,108.11,27.118,18.63163,-91.29297,2752,2849,97,3.696616904997425,212.15403498824506,7.702035542234049,1.794872634899801,1471.8746992212755,4.2382432619963335e-07,7055.214814782911,107.82246963007258
CDL03S,9/2/2021,Candelaria,River,CDL03,Surface,Dry,2.07,35096.8,0.84,122.2,8.63,21.1,33745.2,3.3,27.084,18.62829,-91.29028,2745,2975,230,266.4068289741977,-46.00472495624746,8.019494973035,3.3792907313924414,705.3737175474326,3.698522759397361e-07,6200.126305369406,201.5827269494769
CDL06S,5/3/2020,Candelaria,Estuarine,CDL06,Surface,Dry,0.92,16691.1,0.453,95.9,6.99,8.94,15429.1,5.5,29.283,18.61007,-91.2441,2737,2933,196,217.83153246243913,13.456578370375524,8.211016406018915,3.261911172476542,593.1251444636154,1.5097529764601078e-07,2626.972946445615,187.4659618500526
PLZ07F,10/2/2021,Palizada,Coast,PLZ07,Bottom,Dry,8.37,36889.2,2.829,111.1,7.92,22.81,36170.8,56.65,26.04,18.58745,-91.83044,2715,2851,136,244.11288711384464,-22.500758646824494,7.8123616303500425,2.2081296181660437,1086.1680596739031,4.014206035091267e-07,6702.6009964680625,132.24548565813086
PLZ05S,4/3/2020,Palizada,Estuarine,PLZ05,Surface,Dry,3.37,44859.7,0.346,99.0,6.86,28.49,44185.1,20.62,25.799,18.53635,-91.79076,2694,2878,184,210.5572552639636,3.265417840009775,7.845449447200202,2.6296208652705544,947.545354081403,5.101674964718448e-07,8371.639736491676,160.24902357628338
PLZ05F,10/2/2021,Palizada,Estuarine,PLZ05,Bottom,Dry,16.48,35608.8,2.816,108.4,7.79,22.04,35059.3,1316.3,25.821,18.53617,-91.78713,2676,2861,185,240.22547424458912,-16.591021076143903,7.930370519092067,2.774118778395951,805.3672941941666,3.87159612352696e-07,6476.340463049369,165.83852516586322
CDL04S,5/3/2020,Candelaria,Estuarine,CDL04,Surface,Dry,0.98,51682.3,0.474,103.3,6.85,32.46,49690.8,3.34,27.098,18.67964,-91.34973,2672,2828,156,209.7297115590413,-6.167967790759178,7.746367539686432,2.240768951951749,1223.3968810623983,5.920219258658618e-07,9538.20378541663,139.08114988937174
PLZ06S,4/3/2020,Palizada,Estuarine,PLZ06,Surface,Dry,4.26,47614.6,0.428,101.4,6.94,30.38,46801.9,33.84,25.909,18.5621,-91.79971,2670,2755,85,212.72830598616784,-2.1065646369563353,7.607081704856305,1.5843802244847582,1642.0929956591453,5.483595539805288e-07,8927.00650033756,97.32378185242493
CDL05F,5/3/2020,Candelaria,Estuarine,CDL05,Bottom,Dry,14.2,50724.7,3.373,89.2,6.04,32.65,49905.6,283.23,25.859,18.70432,-91.36842,2668,2840,172,184.83457530955062,22.633931593454832,7.776792205294598,2.3999764878892096,1084.0737129120212,5.961073554817168e-07,9594.034306649815,149.11804478563602
PLZ04S,25/11/2020,Palizada,Estuarine,PLZ04,Surface,Rainy,3.01,383.8,0.3,62.1,4.94,0.18,369.1,19.69,27.087,18.50191,-91.79041,2665,2476,-189,154.8480882796879,100.23187172797708,7.39518363216763,0.024360932850289282,6040.323971391196,9.85351838089344e-09,52.892072747227154,4.5383152360694785
